Timestamp,subsystem,tasktime,subsystemdependency [firefighting],subsystemdependency [SLAM],subsystemdependency [high level logic],subsystemdependency [locomotion],rework,assumptions,assumptionaccuracy,assumptioneffect,centralization,messageresponserate,totalmessageresponsetime,experience
2018/07/24 1:28:50 pm GMT+12,locomotion,10,0,0,0,0,0.8,2,5,1,2,3,2,1
2018/07/24 3:32:58 pm GMT+12,SLAM,20,0.4,0,0.8,1,0.2,4,4,4,2,2,2,1
2018/07/27 1:05:45 pm GMT+12,firefighting,10,0,0.2,0.6,0,0.6,3,3,2,2,2,2,1
2018/08/29 1:34:26 pm GMT+12,high level logic,25,1,1,0,1,0.8,5,3,4,1,2,3,1
